family,N,rep,block_size,n_layers,n_blocks,global_bd_ratio,weighted_mean_bd,unweighted_mean_bd,additivity_ratio,coverage,patch_std,patch_cv,min_patch_nodes,max_patch_nodes
Lor2D,16,0,2,5,3,1.2064000000000001,0.0,0.0,0.0,1.0,0.0,nan,2,8
Lor2D,16,1,2,5,3,1.409438775510204,0.0,0.0,0.0,1.0,0.0,nan,2,10
Lor2D,16,2,2,5,3,1.203923900118906,0.0,0.0,0.0,0.9375,0.0,nan,1,9
Lor2D,16,3,2,4,2,1.2320499479708638,0.0,0.0,0.0,1.0,0.0,nan,7,9
Lor2D,16,4,2,6,3,1.1934156378600822,0.0,0.0,0.0,1.0,0.0,nan,3,7
Lor2D,16,5,2,7,4,1.4758387196060325,0.0,0.0,0.0,0.9375,0.0,nan,1,7
Lor2D,16,6,2,6,3,1.3214189733942485,0.0,0.0,0.0,1.0,0.0,nan,3,10
Lor2D,16,7,2,5,3,1.1961552153791384,0.0,0.0,0.0,1.0,0.0,nan,3,7
Lor3D,16,0,2,4,2,0.3168,0.0,0.0,0.0,1.0,0.0,nan,4,12
Lor3D,16,1,2,4,2,0.6410034602076125,0.0,0.0,0.0,1.0,0.0,nan,4,12
Lor3D,16,2,2,3,2,0.33528122717311903,0.0,0.0,0.0,1.0,0.0,nan,5,11
Lor3D,16,3,2,3,2,0.4354550862581797,0.0,0.0,0.0,1.0,0.0,nan,3,13
Lor3D,16,4,2,4,2,0.41589506172839513,0.0,0.0,0.0,1.0,0.0,nan,5,11
Lor3D,16,5,2,3,2,0.39000000000000007,0.0,0.0,0.0,1.0,0.0,nan,5,11
Lor3D,16,6,2,3,2,0.22318339100346024,0.0,0.0,0.0,1.0,0.0,nan,3,13
Lor3D,16,7,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor4D,16,0,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor4D,16,1,2,3,2,0.22265625,0.0,0.0,0.0,1.0,0.0,nan,2,14
Lor4D,16,2,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor4D,16,3,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor4D,16,4,2,3,2,0.11634349030470913,0.0,0.0,0.0,0.9375,0.0,nan,1,15
Lor4D,16,5,2,3,2,0.11634349030470913,0.0,0.0,0.0,1.0,0.0,nan,2,14
Lor4D,16,6,2,3,2,0.12345679012345685,0.0,0.0,0.0,1.0,0.0,nan,2,14
Lor4D,16,7,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor5D,16,0,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor5D,16,1,2,3,2,0.3125,0.0,0.0,0.0,0.9375,0.0,nan,1,15
Lor5D,16,2,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor5D,16,3,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor5D,16,4,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor5D,16,5,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor5D,16,6,2,3,2,0.36734693877551017,0.0,0.0,0.0,1.0,0.0,nan,2,14
Lor5D,16,7,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
KR_like,16,0,2,3,2,0.4697542533081286,0.0,0.0,0.0,1.0,0.0,nan,4,12
KR_like,16,1,2,3,2,0.5297258810964757,0.0,0.0,0.0,1.0,0.0,nan,4,12
KR_like,16,2,2,3,2,0.5196921684019918,0.0,0.0,0.0,1.0,0.0,nan,4,12
KR_like,16,3,2,3,2,0.5258774538964901,0.0,0.0,0.0,1.0,0.0,nan,4,12
KR_like,16,4,2,3,2,0.5655991735537191,0.0,0.0,0.0,1.0,0.0,nan,4,12
KR_like,16,5,2,3,2,0.5722046174739702,0.0,0.0,0.0,1.0,0.0,nan,4,12
KR_like,16,6,2,3,2,0.5367805478608803,0.0,0.0,0.0,1.0,0.0,nan,4,12
KR_like,16,7,2,3,2,0.5562130177514794,0.0,0.0,0.0,1.0,0.0,nan,4,12
Lor2D,20,0,2,6,3,1.8183593749999998,0.0,0.0,0.0,1.0,0.0,nan,5,8
Lor2D,20,1,2,5,3,1.4379084967320266,0.0,0.0,0.0,1.0,0.0,nan,4,8
Lor2D,20,2,2,6,3,1.4658203125,0.0,0.0,0.0,1.0,0.0,nan,3,9
Lor2D,20,3,2,7,4,1.743285123966942,0.0,0.0,0.0,0.95,0.0,nan,1,7
Lor2D,20,4,2,5,3,1.595245383124171,0.0,0.0,0.0,1.0,0.0,nan,2,11
Lor2D,20,5,2,6,3,1.4139979338842972,0.0,0.0,0.0,1.0,0.0,nan,6,8
Lor2D,20,6,2,6,3,1.5969085859195749,0.0,0.0,0.0,1.0,0.0,nan,5,9
Lor2D,20,7,2,6,3,1.6188,0.0,0.0,0.0,1.0,0.0,nan,3,9
Lor3D,20,0,2,4,2,0.4838820301783265,0.0,0.0,0.0,1.0,0.0,nan,7,13
Lor3D,20,1,2,4,2,0.6485307621671258,0.0,0.0,0.0,1.0,0.0,nan,6,14
Lor3D,20,2,2,3,2,0.23852040816326525,0.0,0.0,0.0,1.0,0.0,nan,6,14
Lor3D,20,3,2,5,3,0.727788279773157,0.0,0.0,0.0,1.0,0.0,nan,2,12
Lor3D,20,4,2,4,2,0.3168,0.0,0.0,0.0,1.0,0.0,nan,5,15
Lor3D,20,5,2,4,2,0.41162570888468814,0.0,0.0,0.0,1.0,0.0,nan,6,14
Lor3D,20,6,2,4,2,0.7392,0.0,0.0,0.0,1.0,0.0,nan,6,14
Lor3D,20,7,2,4,2,0.4296875,0.0,0.0,0.0,1.0,0.0,nan,7,13
Lor4D,20,0,2,3,2,0.20081632653061218,0.0,0.0,0.0,1.0,0.0,nan,3,17
Lor4D,20,1,2,3,2,0.12051039697542537,0.0,0.0,0.0,1.0,0.0,nan,4,16
Lor4D,20,2,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,20,20
Lor4D,20,3,2,3,2,0.07956104252400548,0.0,0.0,0.0,1.0,0.0,nan,2,18
Lor4D,20,4,2,3,2,0.19444444444444442,0.0,0.0,0.0,1.0,0.0,nan,2,18
Lor4D,20,5,2,3,2,0.2001953125,0.0,0.0,0.0,1.0,0.0,nan,3,17
Lor4D,20,6,2,3,2,0.1025390625,0.0,0.0,0.0,1.0,0.0,nan,2,18
Lor4D,20,7,2,3,2,0.15111111111111108,0.0,0.0,0.0,1.0,0.0,nan,4,16
Lor5D,20,0,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,20,20
Lor5D,20,1,2,3,2,0.06867845993756509,0.0,0.0,0.0,1.0,0.0,nan,2,18
Lor5D,20,2,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,20,20
Lor5D,20,3,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,20,20
Lor5D,20,4,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,20,20
Lor5D,20,5,2,3,2,0.07653061224489792,0.0,0.0,0.0,0.95,0.0,nan,1,19
Lor5D,20,6,2,3,2,0.0498866213151928,0.0,0.0,0.0,0.95,0.0,nan,1,19
Lor5D,20,7,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,20,20
KR_like,20,0,2,3,2,0.5990338164251209,0.0,0.0,0.0,1.0,0.0,nan,5,15
KR_like,20,1,2,3,2,0.6228373702422144,0.0,0.0,0.0,1.0,0.0,nan,5,15
KR_like,20,2,2,3,2,0.6067816775728734,0.0,0.0,0.0,1.0,0.0,nan,5,15
KR_like,20,3,2,3,2,0.5150884495317378,0.0,0.0,0.0,1.0,0.0,nan,5,15
KR_like,20,4,2,3,2,0.6487889273356402,0.0,0.0,0.0,1.0,0.0,nan,5,15
KR_like,20,5,2,3,2,0.5972991689750693,0.0,0.0,0.0,1.0,0.0,nan,5,15
KR_like,20,6,2,3,2,0.588235294117647,0.0,0.0,0.0,1.0,0.0,nan,5,15
KR_like,20,7,2,3,2,0.6099558916194077,0.0,0.0,0.0,1.0,0.0,nan,5,15
Lor2D,28,0,2,7,4,2.4225057670126873,0.0,0.0,0.0,0.9642857142857143,0.0,nan,1,10
Lor2D,28,1,2,8,4,2.565838614757809,0.0,0.0,0.0,1.0,0.0,nan,4,10
Lor2D,28,2,2,8,4,2.7161053721900283,0.0,0.0,0.0,1.0,0.0,nan,4,9
Lor2D,28,3,2,7,4,1.88713891711424,0.0,0.0,0.0,0.9642857142857143,0.0,nan,1,12
Lor2D,28,4,2,7,4,2.210059171597633,0.0,0.0,0.0,0.9642857142857143,0.0,nan,1,11
Lor2D,28,5,2,6,3,2.329122995610499,0.0,0.0,0.0,1.0,0.0,nan,7,13
Lor2D,28,6,2,8,4,2.3924168349452652,0.0,0.0,0.0,1.0,0.0,nan,4,10
Lor2D,28,7,2,7,4,2.5055427893235023,0.0,0.0,0.0,1.0,0.0,nan,2,10
Lor3D,28,0,2,5,3,1.0951999999999997,0.0,0.0,0.0,0.9642857142857143,0.0,nan,1,14
Lor3D,28,1,2,4,2,0.7034857401539157,0.0,0.0,0.0,1.0,0.0,nan,9,19
Lor3D,28,2,2,3,2,0.3395061728395062,0.0,0.0,0.0,1.0,0.0,nan,8,20
Lor3D,28,3,2,3,2,0.23011176857330706,0.0,0.0,0.0,1.0,0.0,nan,6,22
Lor3D,28,4,2,4,2,0.700952380952381,0.0,0.0,0.0,1.0,0.0,nan,12,16
Lor3D,28,5,2,3,2,0.6412447950909489,0.0,0.0,0.0,1.0,0.0,nan,13,15
Lor3D,28,6,2,4,2,0.6018518518518519,0.0,0.0,0.0,1.0,0.0,nan,14,14
Lor3D,28,7,2,6,3,0.85235595703125,0.0,0.0,0.0,1.0,0.0,nan,4,15
Lor4D,28,0,2,3,2,0.2742055478796897,0.0,0.0,0.0,1.0,0.0,nan,7,21
Lor4D,28,1,2,3,2,0.23223177908555917,0.0,0.0,0.0,1.0,0.0,nan,5,23
Lor4D,28,2,2,3,2,0.1838134430727023,0.0,0.0,0.0,1.0,0.0,nan,4,24
Lor4D,28,3,2,3,2,0.09679012345679014,0.0,0.0,0.0,1.0,0.0,nan,4,24
Lor4D,28,4,2,3,2,0.2698600101197503,0.0,0.0,0.0,1.0,0.0,nan,4,24
Lor4D,28,5,2,3,2,0.263544536271809,0.0,0.0,0.0,1.0,0.0,nan,8,20
Lor4D,28,6,2,3,2,0.09541397353031708,0.0,0.0,0.0,1.0,0.0,nan,3,25
Lor4D,28,7,2,3,2,0.18681956742633177,0.0,0.0,0.0,1.0,0.0,nan,6,22
Lor5D,28,0,2,3,2,0.05644132653061228,0.0,0.0,0.0,1.0,0.0,nan,3,25
Lor5D,28,1,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,28,28
Lor5D,28,2,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,28,28
Lor5D,28,3,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,28,28
Lor5D,28,4,2,3,2,0.11661807580174927,0.0,0.0,0.0,1.0,0.0,nan,2,26
Lor5D,28,5,2,3,2,0.19988102320047593,0.0,0.0,0.0,1.0,0.0,nan,4,24
Lor5D,28,6,2,3,2,0.1061394380853278,0.0,0.0,0.0,1.0,0.0,nan,3,25
Lor5D,28,7,2,3,2,0.17190082644628105,0.0,0.0,0.0,1.0,0.0,nan,3,25
KR_like,28,0,2,3,2,0.6983858749490124,0.0,0.0,0.0,1.0,0.0,nan,7,21
KR_like,28,1,2,3,2,0.7158509861212563,0.0,0.0,0.0,1.0,0.0,nan,7,21
KR_like,28,2,2,3,2,0.7030174421613788,0.0,0.0,0.0,1.0,0.0,nan,7,21
KR_like,28,3,2,3,2,0.7179188345473466,0.0,0.0,0.0,1.0,0.0,nan,7,21
KR_like,28,4,2,3,2,0.6941015089163239,0.0,0.0,0.0,1.0,0.0,nan,7,21
KR_like,28,5,2,3,2,0.7151020408163264,0.0,0.0,0.0,1.0,0.0,nan,7,21
KR_like,28,6,2,3,2,0.7219979188345476,0.0,0.0,0.0,1.0,0.0,nan,7,21
KR_like,28,7,2,3,2,0.7284463787960292,0.0,0.0,0.0,1.0,0.0,nan,7,21
Lor2D,36,0,2,8,4,2.7417687074829935,0.0,0.0,0.0,1.0,0.0,nan,5,12
Lor2D,36,1,2,8,4,2.829307056579784,0.0,0.0,0.0,1.0,0.0,nan,6,12
Lor2D,36,2,2,10,5,3.2211599984944854,0.0,0.0,0.0,1.0,0.0,nan,2,10
Lor2D,36,3,2,9,5,3.227310752528257,0.0,0.0,0.0,0.9722222222222222,0.0,nan,1,13
Lor2D,36,4,2,10,5,3.7534506927185007,0.0,0.0,0.0,1.0,0.0,nan,4,13
Lor2D,36,5,2,8,4,3.13074326026707,0.0,0.0,0.0,1.0,0.0,nan,6,12
Lor2D,36,6,2,9,5,3.231753846153846,0.0,0.0,0.0,0.9722222222222222,0.0,nan,1,10
Lor2D,36,7,2,9,5,2.9984756238393953,0.0,0.0,0.0,0.9722222222222222,0.0,nan,1,11
Lor3D,36,0,2,5,3,0.6661495844875346,0.0,0.0,0.0,0.9722222222222222,0.0,nan,1,20
Lor3D,36,1,2,4,2,0.5998961218836565,0.0,0.0,0.0,1.0,0.0,nan,15,21
Lor3D,36,2,2,5,3,1.160261748958953,0.0,0.0,0.0,1.0,0.0,nan,3,17
Lor3D,36,3,2,5,3,0.9952965561224492,0.0,0.0,0.0,0.9722222222222222,0.0,nan,1,18
Lor3D,36,4,2,4,2,0.6661051658079008,0.0,0.0,0.0,1.0,0.0,nan,15,21
Lor3D,36,5,2,4,2,0.6978200692041523,0.0,0.0,0.0,1.0,0.0,nan,13,23
Lor3D,36,6,2,6,3,1.235390796201607,0.0,0.0,0.0,1.0,0.0,nan,8,15
Lor3D,36,7,2,4,2,0.6410545154738684,0.0,0.0,0.0,1.0,0.0,nan,11,25
Lor4D,36,0,2,3,2,0.17742919921875,0.0,0.0,0.0,1.0,0.0,nan,9,27
Lor4D,36,1,2,3,2,0.06980609418282545,0.0,0.0,0.0,1.0,0.0,nan,3,33
Lor4D,36,2,2,4,2,0.3949724517906336,0.0,0.0,0.0,1.0,0.0,nan,14,22
Lor4D,36,3,2,4,2,0.16104400944051095,0.0,0.0,0.0,1.0,0.0,nan,7,29
Lor4D,36,4,2,3,2,0.03804393569564852,0.0,0.0,0.0,1.0,0.0,nan,4,32
Lor4D,36,5,2,3,2,0.17055393586005835,0.0,0.0,0.0,1.0,0.0,nan,7,29
Lor4D,36,6,2,4,2,0.18857142857142856,0.0,0.0,0.0,1.0,0.0,nan,7,29
Lor4D,36,7,2,3,2,0.21683259506162014,0.0,0.0,0.0,1.0,0.0,nan,5,31
Lor5D,36,0,2,3,2,0.03698979591836733,0.0,0.0,0.0,0.9722222222222222,0.0,nan,1,35
Lor5D,36,1,2,3,2,0.03631886734379809,0.0,0.0,0.0,0.9722222222222222,0.0,nan,1,35
Lor5D,36,2,2,4,2,0.19562854727689888,0.0,0.0,0.0,1.0,0.0,nan,4,32
Lor5D,36,3,2,3,2,0.07226771092915626,0.0,0.0,0.0,1.0,0.0,nan,2,34
Lor5D,36,4,2,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,36,36
Lor5D,36,5,2,3,2,0.040753556324490556,0.0,0.0,0.0,1.0,0.0,nan,2,34
Lor5D,36,6,2,3,2,0.05182136869379667,0.0,0.0,0.0,1.0,0.0,nan,4,32
Lor5D,36,7,2,3,2,0.06151974040021633,0.0,0.0,0.0,1.0,0.0,nan,3,33
KR_like,36,0,2,3,2,0.8152531229454306,0.0,0.0,0.0,1.0,0.0,nan,9,27
KR_like,36,1,2,3,2,0.8541767563936323,0.0,0.0,0.0,1.0,0.0,nan,9,27
KR_like,36,2,2,3,2,0.8270681581685745,0.0,0.0,0.0,1.0,0.0,nan,9,27
KR_like,36,3,2,3,2,0.831184036087533,0.0,0.0,0.0,1.0,0.0,nan,9,27
KR_like,36,4,2,3,2,0.8441149437716264,0.0,0.0,0.0,1.0,0.0,nan,9,27
KR_like,36,5,2,3,2,0.8351526896697905,0.0,0.0,0.0,1.0,0.0,nan,9,27
KR_like,36,6,2,3,2,0.8111437277051129,0.0,0.0,0.0,1.0,0.0,nan,9,27
KR_like,36,7,2,3,2,0.8030801071341613,0.0,0.0,0.0,1.0,0.0,nan,9,27
Lor2D,16,0,3,5,2,1.2064000000000001,0.2514792899408284,0.20118343195266272,0.20845431858490415,1.0,0.20118343195266272,1.0,6,10
Lor2D,16,1,3,5,2,1.409438775510204,0.33333333333333337,0.22222222222222224,0.23650075414781302,1.0,0.22222222222222224,1.0,4,12
Lor2D,16,2,3,5,2,1.203923900118906,0.4347502972651605,0.267538644470868,0.36111111111111116,1.0,0.267538644470868,1.0,3,13
Lor2D,16,3,3,4,2,1.2320499479708638,0.4419642857142858,0.5892857142857144,0.35872270149613905,1.0,0.0,0.0,4,12
Lor2D,16,4,3,6,2,1.1934156378600822,0.28031737832874193,0.27077594123048665,0.23488663080649758,1.0,0.07633149678604223,0.2818991097922849,7,9
