seed_label,seed_offset,n,family,sample_id,seed,beta,log_H,entropy_method,penalty_neutral,geo_width_height,geo_dim_proxy_penalty,geo_dim_eff,geo_dim_consistency,geo_dim_consistency_global_d_eff,geo_dim_consistency_local_mean_d_eff,geo_dim_consistency_local_var_d_eff,geo_dim_consistency_local_count,geo_dim_multi_consistency,geo_dim_multi_consistency_var,geo_d_order,geo_d_chain,geo_d_width,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total,scale_factor,matched_weight,consistency_weight,gamma,penalty_effective,score
offset_0,0,52,KR_like,0,52000,1.0,108.96472054979549,sis,0.10477452742473226,4.663372223205297,0.56551352764194,2.752006334841629,5.077755969487891,2.752006334841629,5.005393999999999,7.888609052210118e-31,22.0,6.614733446593546,1.5369774771056555,2.752006334841629,3.5965770266157073,5.700439718141092,0.0,0.002315017665030973,0.041064453124999956,0.36775400153925836,0.0625,16.026889993862497,1.72,0.682882,1.17455704,0.0,15.395632995199353,-108.96472054979549
offset_0,0,52,KR_like,0,52000,1.0,108.96472054979549,sis,0.10477452742473226,4.663372223205297,0.56551352764194,2.752006334841629,5.077755969487891,2.752006334841629,5.005393999999999,7.888609052210118e-31,22.0,6.614733446593546,1.5369774771056555,2.752006334841629,3.5965770266157073,5.700439718141092,0.0,0.002315017665030973,0.041064453124999956,0.36775400153925836,0.0625,16.026889993862497,1.72,0.682882,1.17455704,0.2,15.395632995199353,-105.88559395075562
offset_0,0,52,KR_like,0,52000,1.0,108.96472054979549,sis,0.10477452742473226,4.663372223205297,0.56551352764194,2.752006334841629,5.077755969487891,2.752006334841629,5.005393999999999,7.888609052210118e-31,22.0,6.614733446593546,1.5369774771056555,2.752006334841629,3.5965770266157073,5.700439718141092,0.0,0.002315017665030973,0.041064453124999956,0.36775400153925836,0.0625,16.026889993862497,1.72,0.682882,1.17455704,0.4,15.395632995199353,-102.80646735171575
offset_0,0,52,KR_like,0,52000,1.0,108.96472054979549,sis,0.10477452742473226,4.663372223205297,0.56551352764194,2.752006334841629,5.077755969487891,2.752006334841629,5.005393999999999,7.888609052210118e-31,22.0,6.614733446593546,1.5369774771056555,2.752006334841629,3.5965770266157073,5.700439718141092,0.0,0.002315017665030973,0.041064453124999956,0.36775400153925836,0.0625,16.026889993862497,1.72,0.682882,1.17455704,0.6,15.395632995199353,-99.72734075267587
offset_0,0,52,KR_like,0,52000,1.0,108.96472054979549,sis,0.10477452742473226,4.663372223205297,0.56551352764194,2.752006334841629,5.077755969487891,2.752006334841629,5.005393999999999,7.888609052210118e-31,22.0,6.614733446593546,1.5369774771056555,2.752006334841629,3.5965770266157073,5.700439718141092,0.0,0.002315017665030973,0.041064453124999956,0.36775400153925836,0.0625,16.026889993862497,1.72,0.682882,1.17455704,0.8,15.395632995199353,-96.648214153636
offset_0,0,52,KR_like,0,52000,1.0,108.96472054979549,sis,0.10477452742473226,4.663372223205297,0.56551352764194,2.752006334841629,5.077755969487891,2.752006334841629,5.005393999999999,7.888609052210118e-31,22.0,6.614733446593546,1.5369774771056555,2.752006334841629,3.5965770266157073,5.700439718141092,0.0,0.002315017665030973,0.041064453124999956,0.36775400153925836,0.0625,16.026889993862497,1.72,0.682882,1.17455704,1.0,15.395632995199353,-93.56908755459614
offset_0,0,52,KR_like,0,52000,1.0,108.96472054979549,sis,0.10477452742473226,4.663372223205297,0.56551352764194,2.752006334841629,5.077755969487891,2.752006334841629,5.005393999999999,7.888609052210118e-31,22.0,6.614733446593546,1.5369774771056555,2.752006334841629,3.5965770266157073,5.700439718141092,0.0,0.002315017665030973,0.041064453124999956,0.36775400153925836,0.0625,16.026889993862497,1.72,0.682882,1.17455704,1.5,15.395632995199353,-85.87127105699645
offset_0,0,52,KR_like,0,52000,1.0,108.96472054979549,sis,0.10477452742473226,4.663372223205297,0.56551352764194,2.752006334841629,5.077755969487891,2.752006334841629,5.005393999999999,7.888609052210118e-31,22.0,6.614733446593546,1.5369774771056555,2.752006334841629,3.5965770266157073,5.700439718141092,0.0,0.002315017665030973,0.041064453124999956,0.36775400153925836,0.0625,16.026889993862497,1.72,0.682882,1.17455704,2.0,15.395632995199353,-78.17345455939679
offset_0,0,52,KR_like,0,52000,1.0,108.96472054979549,sis,0.10477452742473226,4.663372223205297,0.56551352764194,2.752006334841629,5.077755969487891,2.752006334841629,5.005393999999999,7.888609052210118e-31,22.0,6.614733446593546,1.5369774771056555,2.752006334841629,3.5965770266157073,5.700439718141092,0.0,0.002315017665030973,0.041064453124999956,0.36775400153925836,0.0625,16.026889993862497,1.74,0.682882,1.18821468,0.0,15.46498315823847,-108.96472054979549
offset_0,0,52,KR_like,0,52000,1.0,108.96472054979549,sis,0.10477452742473226,4.663372223205297,0.56551352764194,2.752006334841629,5.077755969487891,2.752006334841629,5.005393999999999,7.888609052210118e-31,22.0,6.614733446593546,1.5369774771056555,2.752006334841629,3.5965770266157073,5.700439718141092,0.0,0.002315017665030973,0.041064453124999956,0.36775400153925836,0.0625,16.026889993862497,1.74,0.682882,1.18821468,0.2,15.46498315823847,-105.8717239181478
